ID;PAGE_ID;NAME;DISPLAY_NAME;DATA_TYPE;LENGTH;SCALE;SEARCHABLE;FILTERABLE;TYPE;CONFIGURABLE;CUSTOM;DEFAULT
3337;303;CROSS_DOC_CHECK_STATUS_TXT;CROSS_DOC_CHECK_STATUS_TXT;VARCHAR;30;0;0;0;0;1;0;1
3338;303;VOYAGE;TRIP_ID;VARCHAR;100;0;1;0;0;0;0;0
3401;304;FREIGHT_BOOKING_ID;FREIGHT_BOOKING_ID;VARCHAR;60;0;1;0;0;0;0;0
3402;304;LOCATION;LOCATION;VARCHAR;22;0;0;1;0;0;0;0
3403;304;RESOURCE_TYPE;RESOURCE_TYPE;VARCHAR;200;0;1;0;0;0;0;0
3404;304;SCHEDULE_ID;SCHEDULE_ID;VARCHAR;60;0;1;0;0;0;0;0
3405;304;TRAIN_ID;TRAIN_ID;VARCHAR;60;0;1;0;0;0;0;0
3406;304;ACTIVE_RESOURCE_ID;ACTIVE_RESOURCE_ID;VARCHAR;60;0;1;0;0;0;0;0
3407;304;DEPARTURE_TIME;DEPARTURE_TIME;DATE;0;0;1;1;0;1;0;0
3408;304;LADEN_LOAD_QUANTITY;LADEN_LOAD_QUANTITY;VARCHAR;10;0;1;1;0;0;0;0
3409;304;LADEN_DISCHARGE_QUANTITY;LADEN_DISCHARGE_QUANTITY;VARCHAR;10;0;1;1;0;0;0;0
3410;304;EMPTY_LOAD_QUANTITY;EMPTY_LOAD_QUANTITY;VARCHAR;10;0;1;1;0;0;0;0
3411;304;EMPTY_DISCHARGE_QUANTITY;EMPTY_DISCHARGE_QUANTITY;VARCHAR;10;0;1;1;0;0;0;0
