planningcockpit/leaseContract,LEASE_CONTRACT,Lease Contract,PlanningCockpit,Lease Contract Logs
planningcockpit/routing,SIMULATION_PLAN,Simulation Plan,PlanningCockpit,Simulation Plan Logs
planningcockpit/scenario,SIMULATION_PLAN,Simulation Plan,PlanningCockpit,Simulation Plan Logs
planningcockpit/simulations,SIMULATION_PLAN,Simulation Plan,PlanningCockpit,Simulation Plan Logs
planningcockpit/TRQ,SIMULATION_PLAN,Simulation Plan,PlanningCockpit,Simulation Plan Logs
planningcockpit/networkSetting,SIMULATION_PLAN,Network Setting Group,PlanningCockpit,Network Setting Group Logs
planningcockpit/paths,SIMULATION_PLAN,Simulation Plan Network Path,PlanningCockpit,Network Path Logs
planningcockpit/connections,SIMULATION_PLAN,Simulation Plan Network Connection,PlanningCockpit,Network Connection Logs
planningcockpit/voyages,SIMULATION_PLAN,Simulation Plan Network Voyage,PlanningCockpit,Network Voyage Logs
planningcockpit/rules,SIMULATION_PLAN,Simulation Plan Network Departure Rule,PlanningCockpit,Network Departure Rule Logs
planningcockpit/network,SIMULATION_PLAN,Simulation Plan Network,PlanningCockpit,Network Logs
planningcockpit/routes,SIMULATION_PLAN,Simulation Plan Network Route,PlanningCockpit,Network Route Logs
planningcockpit/dataset,SIMULATION_PLAN,Simulation Plan Network Dataset,PlanningCockpit,Network Dataset Logs
stock/stocks,STOCK,Stock,Stock,Stock Information
streetturn/streetturn,STREETTURN,TRP streetturn,Configuration,TRP streetturn Logs
xslib/pipelineExecutor,PIPELINE,TRP Transportation Pipeline,Pipeline,TRP Transportation Pipeline Execution
supplydemand/plans,CONFIG_PLAN,TRP TM Hierarchy,Configuration,TRP TM Hierarchy Setting
support/consistencycheck,CONSISTENCY_CHECK,Consistency Check,Configuration,TRP Consistency Check Logs
user/alertRuleGroup,ALERT_RULE_GROUP,Alert Rule Group,Configuration,Alert Rule Group Setting
user/attributeGroups,ATTRIBUTE_GROUPS,TRP Transportation Attribute Groups,Configuration,TRP Transportation Attribute Groups Setting
user/locationFilters,CONFIG_LOC_FILTER,TRP Transportation Location Filter,Configuration,TRP Transportation Location Filter Setting
user/locationGroups,CONFIG_LOC_GROUP,TRP Transportation Location Group,Configuration,TRP Transportation Location Group Setting
user/registrationObject,CONFIG_REG_OBJECT,TRP Object Registration,Configuration,TRP Object Registration Logs
user/resourceFilters,CONFIG_RES_FILTER,TRP TM Resource Filter,Configuration,TRP TM Resource Filter Setting
user/resourceGroups,CONFIG_RES_GROUP,TRP Transportation Resource Group,Configuration,TRP Transportation Resource Group Setting
user/timeFilters,CONFIG_TIME_FILTER,TRP Transportation Time Filter,Configuration,TRP Transportation Time Filter Setting
user/users,CONFIG_USER,TRP Transportation User Manager,Configuration,TRP Transportation User Manager Setting
